Sapling.ID,Stem.Wood.Density,Modulus.Of.Elasticity,Branching.Distance,Branch.Diameter,Branch.Wood.Density,Vessel.Diameter,Lumen.Fraction,Ks,Kbranch,t.b2,Leaf.Area,Leaf.Mass.per.Area,Leaf.Thickness,Leaf.Carbon.Concentration,Leaf.Nitrogen.Concentration,Leaf.Phosphorus.Concentration,Carbon.13.isotope.ratio,Elevation,Total.Transmitted.Light ,Percent.Canopy.Opening,Summer.Max.Temp,Fall.Min.Temp,Mean.Summer.and.Fall.Temp,Slope,North.Aspect,East.Aspect,Soil.Humidity,Soil.pH,Soil.Total.Organic.Carbon,Soil.Total.Nitrogen,Soil.Phosphorus,Soil.Potassium,Soil.Calcium,Soil.Magnesium,Soil.Depth,Symmetric.Competition,Asymmetric.Competition,Species,Site.Name,Tree.Age,Tree.Height,julian.date.2011,Branch.Height
J10ACSA19,0.790030342,2807.718523,16.75,5.44,0.65688549,7375.444935,0.05427032,24.65822365,432.6666406,0.02703713,43.4278125,36.25268945,0.0938,48.4995,1.9037,8.339464929,-30.81102547,202,2.425,4.935,28.67,-9.83,13.32,23.6,0.615661475,-0.788010754,0.07,NA,NA,NA,NA,NA,NA,NA,NA,1.343,7.725,ACSA,West Lake Hill,41,384,191,3.3
J10AMSP12,0.890039063,2012.670184,8,4.395,0.627606019,5447.321348,0.139655677,43.61019192,829.0944199,0.022220681,13.62967213,46.22268195,0.1218,47.4691,2.5345,11.5421537,-30.72773155,202,3.89,7.55,28.67,-9.83,13.32,18.1,0.615661475,-0.788010754,0.045666667,NA,NA,NA,NA,NA,NA,NA,NA,12.043,10.148,AMSP,West Lake Hill,41,403,191,3.9
J10AMSP13,0.877210884,7055.698284,11.36842105,5.4,0.664115021,5034.952443,0.133012624,34.65170741,648.6934427,0.021245374,18.2326,48.86851025,0.1334,49.7283,2.3349,11.39280294,-29.76456268,202,4.59,6.25,28.67,-9.83,13.32,12.9,0.034899497,-0.999390827,0.085,NA,NA,NA,NA,NA,NA,NA,NA,2.371,9.596,AMSP,West Lake Hill,41,482,191,3.6
J10FAG15,0.751053985,3871.404188,9.777777778,3.725,0.6042533,5979.837344,0.117633998,41.18362907,767.8101785,0.017264659,51.985625,34.37248278,0.0854,47.9494,2.2764,10.15500101,-31.70953758,202,2.98,5.74,28.67,-9.83,13.32,17.2,0.034899497,-0.999390827,0.052,NA,NA,NA,NA,NA,NA,NA,NA,4.099,12.493,FAG,West Lake Hill,32,396,191,3.2
J10FRA19,0.767821896,3121.343102,56,8.935,0.548121494,19565.18203,0.145877468,337.2024607,1420.26745,0.023639949,354.2825,44.15614658,0.0924,46.4648,2.5594,12.08830481,-30.60815605,202,6.5,8.68,28.67,-9.83,13.32,13.4,0.034899497,-0.999390827,0.049666667,NA,NA,NA,NA,NA,NA,NA,NA,1.341,9.504,FRA,West Lake Hill,60,433,191,3.2
J10OSV19,0.799593599,4496.479369,8.285714286,3.76,0.583013475,7042.175693,0.079187845,45.66849898,874.9587068,0.019431526,19.58761905,36.05290028,0.107,47.7029,2.1661,8.470409468,-31.26575073,202,2.82,4.18,28.67,-9.83,13.32,24.8,0.615661475,-0.788010754,0.034,NA,NA,NA,NA,NA,NA,NA,NA,1.685,24.857,OSV,West Lake Hill,24,290,191,2.9
J10PRS11,0.744162437,1384.758439,11.30769231,5.43,0.594546403,4933.1,0.141704956,45.11235151,863.5253954,0.025899947,22.74170213,50.80178882,0.1156,47.37505978,2.9356,10.6626721,-29.18777306,202,3.41,5.73,28.67,-9.83,13.32,12.6,0.034899497,-0.999390827,0.069666667,NA,NA,NA,NA,NA,NA,NA,NA,0.872,27.026,PRS,West Lake Hill,42,305,191,2.7
J11ACP9,0.562627737,1889.930674,36.33333333,5.405,0.449612413,6522.291232,0.084206055,34.23878229,484.7949762,0.022067598,128.66125,24.80350533,0.1044,42.48747492,2.3974,15.71030643,-30.68918068,200,2.04,4.06,26.33,-11.17,13.03,7.7,0.5,-0.866025404,0.134333333,6.73,16.44698278,0.757709251,12.26417356,221.7407177,770.1073159,68.66633972,34,1.967,25.805,ACP,Gault Parking,35,302,190,2
J11ACSA21,0.77726175,6266.42515,16.6,6.13,0.526801367,6494.73508,0.091130202,40.65469806,574.3777471,0.031818239,49.942,47.79544271,0.104,46.9333,2.0129,8.380792936,-30.3231028,200,2.14,4.54,26.33,-11.17,13.03,7.8,0.173648178,-0.984807753,0.026666667,5.45,5.988492007,0.256436837,4.468113422,81.33579151,297.8980941,21.97250615,26,1.589,1.654,ACSA,Gault Parking,27,327,190,2.9
J11AMSP14,0.875979381,6619.639397,14.91666667,4.65,0.612545734,8093.523167,0.152049183,63.9744543,1187.480358,0.007944172,15.79137931,51.07544492,0.1248,46.6836,2.2905,12.66682909,-30.3898085,200,3.64,5.45,26.33,-11.17,13.03,7.8,0.173648178,-0.984807753,0.053,NA,NA,NA,NA,NA,NA,NA,21,5.424,5.751,AMSP,Gault Parking,15,508,190,3.6
